business_description,domain_name,complexity,relevance,diversity,originality,overall_score
global sphere software company in neighborhood with focus on sustainability,software-tech.org,complex,0.36406463384628296,0.6358843445777893,0.9090909090909091,0.6363466291716604
global sphere software company in neighborhood with focus on sustainability,sustainabilityplatform.io,complex,0.4550814926624298,0.6358843445777893,0.9090909090909091,0.6666855721762686
global sphere software company in neighborhood with focus on sustainability,global-solutions.io,complex,0.4056757092475891,0.6358843445777893,0.9090909090909091,0.6502169876387625
ethereal clothing boutique,etherealstyle.com,simple,0.6816480755805969,0.4833148717880249,0.75,0.6383209824562073
ethereal clothing boutique,clothingworksapparel.io,simple,0.6358449459075928,0.4833148717880249,0.8,0.63971994916598
ethereal clothing boutique,fashionworkswardrobe.org,simple,0.5986167192459106,0.4833148717880249,1.0,0.6939771970113118
smart online store,storebazaar.co,simple,0.43713799118995667,0.4821104109287262,0.75,0.5564161539077759
smart online store,storestore.org,simple,0.6055480241775513,0.4821104109287262,0.6666666666666667,0.5847750438584222
smart online store,smartshop.co,simple,0.6578423976898193,0.4821104109287262,0.75,0.6299842894077301
bright coffee shop in neighborhood,brightcorner.com,medium,0.3697494566440582,0.48027172684669495,0.8333333333333334,0.5611181722746955
bright coffee shop in neighborhood,shopbrew.com,medium,0.492217093706131,0.48027172684669495,0.8333333333333334,0.601940737830268
bright coffee shop in neighborhood,shopcornercoffee.org,medium,0.5628942251205444,0.48027172684669495,0.6666666666666667,0.5699442161454095
dynamic pet store,petcorner.com,simple,0.5279281139373779,0.4543583393096924,0.75,0.5774288177490234
dynamic pet store,storecornerpetcare.net,simple,0.5564557313919067,0.4543583393096924,0.6,0.5369380235671997
dynamic pet store,petbuddy.co,simple,0.41349607706069946,0.4543583393096924,0.75,0.5392848253250122
global toy store in neighborhood,ingames.com,medium,0.30533790588378906,0.6231649518013,0.8333333333333334,0.5872787402735816
global toy store in neighborhood,storecorner.org,medium,0.4739750921726227,0.6231649518013,0.8333333333333334,0.6434911357031928
global toy store in neighborhood,toyfun.co,medium,0.5772845149040222,0.6231649518013,0.8333333333333334,0.6779276000128852
quantum sphere consulting firm in city center for busy professionals,citycorner.co,complex,0.3118263781070709,0.7206894755363464,0.9090909090909091,0.647202244310668
quantum sphere consulting firm in city center for busy professionals,consultinggroup.co,complex,0.48599568009376526,0.7206894755363464,0.9090909090909091,0.7052587180426626
quantum sphere consulting firm in city center for busy professionals,quantumadvisory.org,complex,0.5169822573661804,0.7206894755363464,0.9090909090909091,0.7155875473311453
modern toy store in neighborhood,modernplay.com,medium,0.3829916715621948,0.6563171744346619,0.8333333333333334,0.6242140697108375
modern toy store in neighborhood,storehubfun.com,medium,0.4620899558067322,0.6563171744346619,0.8571428571428572,0.658516662461417
modern toy store in neighborhood,neighborhoodgames.co,medium,0.4904050827026367,0.6563171744346619,0.8333333333333334,0.6600185500250922
atomic cafe,atomicexpresso.co,simple,0.5199488401412964,0.5508226752281189,0.75,0.6069238483905792
atomic cafe,cafecafe.org,simple,0.5093454122543335,0.5508226752281189,0.5,0.5200560490290324
atomic cafe,cafecafe.net,simple,0.4414740800857544,0.5508226752281189,0.5,0.497432271639506
stellar cafe in neighborhood,inhubcoffee.org,medium,0.2441350221633911,0.6971238255500793,0.8333333333333334,0.5915307270156013
stellar cafe in neighborhood,neighborhoodbrew.net,medium,0.3723471760749817,0.6971238255500793,0.8,0.6231570104757944
stellar cafe in neighborhood,cafecorner.com,medium,0.49475282430648804,0.6971238255500793,0.8,0.6639588932196299
stellar law firm in city center,in-legal.io,medium,0.3091067671775818,0.437523752450943,0.8571428571428572,0.5345911255904606
stellar law firm in city center,firmlaw.io,medium,0.5291191339492798,0.437523752450943,0.6666666666666667,0.5444365276230706
stellar law firm in city center,lawcounsel.org,medium,0.5089200139045715,0.437523752450943,0.8571428571428572,0.6011955312320164
mythic restaurant in city center,cityeatery.com,medium,0.3716127574443817,0.4788825809955597,0.8333333333333334,0.5612762437926399
mythic restaurant in city center,restaurantbistro.io,medium,0.4818424880504608,0.4788825809955597,0.8333333333333334,0.5980194674597846
mythic restaurant in city center,restauranttable.io,medium,0.4254266619682312,0.4788825809955597,0.8333333333333334,0.5792142020331489
smart toy store in city center,toyworksplay.com,medium,0.5113865733146667,0.6530305743217468,0.875,0.6798057357470194
smart toy store in city center,smarttoys.co,medium,0.4556363821029663,0.6530305743217468,0.8571428571428572,0.6552699378558567
smart toy store in city center,citygames.org,medium,0.3913400173187256,0.6530305743217468,0.8571428571428572,0.6338378361293248
atomic coffee shop in near the river,shopcorner.co,medium,0.43391215801239014,0.6942312121391296,0.875,0.6677144567171732
atomic coffee shop in near the river,brewcorner.org,medium,0.45623815059661865,0.6942312121391296,1.0,0.716823120911916
atomic coffee shop in near the river,atomicexpresso.org,medium,0.36223697662353516,0.6942312121391296,0.8888888888888888,0.648452369151292
stellar realm law firm in city center for busy professionals,firmlaw.co,complex,0.5057622194290161,0.5643503069877625,0.8,0.6233708421389261
